lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0.002,0.002,0.002,0,,,,,,,
,,,,3011,0.46932166814804077,0.8739621388243108,0.8556349681853787,0,,,
,,,,3011,,,,0,0.6373571753501892,0.8259588245060601,0.7372613782873932
2e-05,0.002,0.002,0.002,3012,,,,,,,
,,,,6023,0.38201001286506653,0.8864164729325805,0.8764429626851743,1,,,
,,,,6023,,,,1,0.3399065136909485,0.8984725219990038,0.8369491991172541
2e-05,0.002,0.002,0.002,6024,,,,,,,
,,,,9035,0.34761950373649597,0.9000332115576221,0.8902625815986639,2,,,
,,,,9035,,,,2,0.23996280133724213,0.9244770048148763,0.8773323102789256
2e-05,0.002,0.002,0.002,9036,,,,,,,
,,,,12047,0.37218421697616577,0.9005313849219528,0.8911904172333912,3,,,
,,,,12047,,,,3,0.18043002486228943,0.9401461065913996,0.9016794757102686
2e-05,0.002,0.002,0.002,12048,,,,,,,
,,,,15059,0.39129847288131714,0.9010295582862836,0.8872875374162278,4,,,
,,,,15059,,,,4,0.13505496084690094,0.9545077204051138,0.9243247854923888
2e-05,0.002,0.002,0.002,15060,,,,,,,
,,,,18071,0.4231066107749939,0.899368980405181,0.8904451107924919,5,,,
,,,,18071,,,,5,0.11102144420146942,0.9633695832641541,0.939286177676923
2e-05,0.002,0.002,0.002,18072,,,,,,,
,,,,21083,0.5042034387588501,0.8997010959814016,0.8863424474760713,6,,,
,,,,21083,,,,6,0.08795821666717529,0.9707786817200731,0.950817595601336
2e-05,0.002,0.002,0.002,21084,,,,,,,
,,,,24095,0.4565976858139038,0.9020259050149452,0.8928328618606937,7,,,
,,,,24095,,,,7,0.06831062585115433,0.9777727046322431,0.9622259867660171
2e-05,0.002,0.002,0.002,24096,,,,,,,
,,,,27107,0.5059395432472229,0.9061773497177018,0.8950051033532667,8,,,
,,,,27107,,,,8,0.05826756730675697,0.981570645857546,0.9689832471996642
2.0000000000000003e-06,0.0002,0.0002,0.0002,27108,,,,,,,
,,,,30119,0.48739802837371826,0.9113251411491199,0.9020500872415823,9,,,
,,,,30119,,,,9,0.02264847792685032,0.9932342686368919,0.9883299775903123
2.0000000000000003e-06,0.0002,0.0002,0.0002,30120,,,,,,,
,,,,33131,0.4991130232810974,0.912653603454002,0.903078337896583,10,,,
,,,,33131,,,,10,0.014583536423742771,0.9957662294537606,0.9928369622795146
2.0000000000000003e-06,0.0002,0.0002,0.0002,33132,,,,,,,
,,,,36143,0.5158805251121521,0.9123214878777814,0.9018734449224611,11,,,
,,,,36143,,,,11,0.010762142017483711,0.9970944711937573,0.9950719332505812
2.0000000000000003e-06,0.0002,0.0002,0.0002,36144,,,,,,,
,,,,39155,0.5292163491249084,0.909498505479907,0.899724512681949,12,,,
,,,,39155,,,,12,0.00877373293042183,0.9973642702971941,0.9953717890941864
2.0000000000000003e-06,0.0002,0.0002,0.0002,39156,,,,,,,
,,,,42167,0.5467622876167297,0.9103287944204583,0.9003838103359736,13,,,
,,,,42167,,,,13,0.00748862000182271,0.9981736676075046,0.9969580365213767
2.0000000000000003e-06,0.0002,0.0002,0.0002,42168,,,,,,,
,,,,45179,0.5504915118217468,0.9103287944204583,0.8998206516916172,14,,,
,,,,45179,,,,14,0.006871812976896763,0.9982359289390669,0.9969890551826457
2.0000000000000004e-07,2e-05,2e-05,2e-05,45180,,,,,,,
,,,,48191,0.5482571125030518,0.9108269677847891,0.9006844880118013,15,,,
,,,,48191,,,,15,0.00578195508569479,0.9984642204881289,0.9973275196403201
2.0000000000000004e-07,2e-05,2e-05,2e-05,48192,,,,,,,
,,,,51203,0.5493374466896057,0.9111590833610096,0.9014269801258911,16,,,
