lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0.002,0.002,0.002,0,,,,,,,
,,,,3011,0.4626242220401764,0.8751245433410827,0.8586369244571331,0,,,
,,,,3011,,,,0,0.7558667659759521,0.805018263323925,0.7105414355637687
2e-05,0.002,0.002,0.002,3012,,,,,,,
,,,,6023,0.3957759141921997,0.8899036864828961,0.8792416133716175,1,,,
,,,,6023,,,,1,0.39136382937431335,0.8900464884608998,0.8240472989206377
2e-05,0.002,0.002,0.002,6024,,,,,,,
,,,,9035,0.36203014850616455,0.8985386914646297,0.8853301872853564,2,,,
,,,,9035,,,,2,0.2692970931529999,0.9212809231280092,0.8726137719412853
2e-05,0.002,0.002,0.002,9036,,,,,,,
,,,,12047,0.385515958070755,0.8945533045499834,0.8873012831277759,3,,,
,,,,12047,,,,3,0.20331306755542755,0.9362028889257845,0.8960472463780575
2e-05,0.002,0.002,0.002,12048,,,,,,,
,,,,15059,0.3935985863208771,0.9036864828960478,0.8914977720906503,4,,,
,,,,15059,,,,4,0.15731661021709442,0.9495890752116886,0.9159539082010617
2e-05,0.002,0.002,0.002,15060,,,,,,,
,,,,18071,0.4103606343269348,0.9023580205911658,0.8917199001018975,5,,,
,,,,18071,,,,5,0.12506677210330963,0.9592810891582269,0.9324062083002747
2e-05,0.002,0.002,0.002,18072,,,,,,,
,,,,21083,0.430247038602829,0.9061773497177018,0.8985488204857286,6,,,
,,,,21083,,,,6,0.09836714714765549,0.9685165200066412,0.9467757458841586
2e-05,0.002,0.002,0.002,21084,,,,,,,
,,,,24095,0.4273605942726135,0.9011956160743939,0.8918291896643513,7,,,
,,,,24095,,,,7,0.08315913379192352,0.9733936576456915,0.9554480908344611
2e-05,0.002,0.002,0.002,24096,,,,,,,
,,,,27107,0.511549174785614,0.9060112919295915,0.896011723229562,8,,,
,,,,27107,,,,8,0.0630142018198967,0.9800763739000498,0.9659894786036203
2.0000000000000003e-06,0.0002,0.0002,0.0002,27108,,,,,,,
,,,,30119,0.4794691503047943,0.9129857190302225,0.9057149969823457,9,,,
,,,,30119,,,,9,0.02700086496770382,0.991989042005645,0.9862262561415795
2.0000000000000003e-06,0.0002,0.0002,0.0002,30120,,,,,,,
,,,,33131,0.5143632888793945,0.9121554300896713,0.9041681622625729,10,,,
,,,,33131,,,,10,0.016645247116684914,0.9952266312468869,0.991968116927438
2.0000000000000003e-06,0.0002,0.0002,0.0002,33132,,,,,,,
,,,,36143,0.5207985639572144,0.912653603454002,0.905864116407721,11,,,
,,,,36143,,,,11,0.014754117466509342,0.996202058774697,0.9934801514828077
2.0000000000000003e-06,0.0002,0.0002,0.0002,36144,,,,,,,
,,,,39155,0.5325824618339539,0.9106609099966788,0.9028555149003519,12,,,
,,,,39155,,,,12,0.011833024211227894,0.9967001494271958,0.9944024142023473
2.0000000000000003e-06,0.0002,0.0002,0.0002,39156,,,,,,,
,,,,42167,0.5478949546813965,0.9116572567253404,0.904068848542353,13,,,
,,,,42167,,,,13,0.010037845931947231,0.997405777851569,0.9956408634625462
2.0000000000000003e-06,0.0002,0.0002,0.0002,42168,,,,,,,
,,,,45179,0.5554269552230835,0.9121554300896713,0.9049178134209237,14,,,
,,,,45179,,,,14,0.008495102636516094,0.9977585920637556,0.996180514377426
2.0000000000000004e-07,2e-05,2e-05,2e-05,45180,,,,,,,
,,,,48191,0.5555621385574341,0.9109930255728994,0.9044180856855187,15,,,
,,,,48191,,,,15,0.006733773276209831,0.9983396978250042,0.9971842329272175
2.0000000000000004e-07,2e-05,2e-05,2e-05,48192,,,,,,,
,,,,51203,0.5577967166900635,0.9109930255728994,0.9041993928320841,16,,,
,,,,51203,,,,16,0.007183194160461426,0.9981736676075046,0.996851355518133
2.0000000000000004e-07,2e-05,2e-05,2e-05,51204,,,,,,,
,,,,54215,0.5615885257720947,0.9109930255728994,0.9037891928057311,17,,,
,,,,54215,,,,17,0.006531262304633856,0.9985057280425037,0.9975838123173337
2.0000000000000004e-07,2e-05,2e-05,2e-05,54216,,,,,,,
,,,,57227,0.5651741623878479,0.9113251411491199,0.9040217788782204,18,,,
,,,,57227,,,,18,0.0064484067261219025,0.9982566827162543,0.9971417766287431
2.0000000000000004e-07,2e-05,2e-05,2e-05,57228,,,,,,,
,,,,60239,0.5643031597137451,0.9104948522085686,0.9034479385074835,19,,,
,,,,60239,,,,19,0.006205319426953793,0.9985057280425037,0.9974742323737839
2.0000000000000004e-07,2e-05,2e-05,2e-05,60240,,,,,,,
,,,,63251,0.566631555557251,0.9114911989372302,0.9041539144889347,20,,,
,,,,63251,,,,20,0.006473002955317497,0.9984019591565665,0.9973479967004788
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,63252,,,,,,,
,,,,66263,0.56641685962677,0.9113251411491199,0.9042537042527222,21,,,
,,,,66263,,,,21,0.006324191112071276,0.9983604516021916,0.9972286394218983
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,66264,,,,,,,
,,,,69275,0.566460907459259,0.9113251411491199,0.9040753021939576,22,,,
,,,,69275,,,,22,0.006830404046922922,0.9983396978250042,0.9972789492132013
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,69276,,,,,,,
,,,,72287,0.5666517615318298,0.9113251411491199,0.9040753021939576,23,,,
,,,,72287,,,,23,0.00637651514261961,0.9983189440478167,0.9970964389592972
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,72288,,,,,,,
,,,,75299,0.5667234659194946,0.9111590833610096,0.9039398885503305,24,,,
,,,,75299,,,,24,0.006430015433579683,0.9985264818196912,0.9976250036236753
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,75300,,,,,,,
,,,,78311,0.5668730139732361,0.9109930255728994,0.9037978484110255,25,,,
,,,,78311,,,,25,0.0064146569930016994,0.998381205379379,0.9973308665986728
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,78312,,,,,,,
,,,,81323,0.5670046806335449,0.9109930255728994,0.9038043867940052,26,,,
,,,,81323,,,,26,0.005889554042369127,0.9985057280425037,0.9973361373992287
