lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0.002,0.002,0.002,0,,,,,,,
,,,,3011,0.40971532464027405,0.8816007970773829,0.865835767944013,0,,,
,,,,3011,,,,0,0.5991610288619995,0.8301992528019926,0.7561708078831725
2e-05,0.002,0.002,0.002,3012,,,,,,,
,,,,6023,0.3407728374004364,0.8928927266688808,0.8811037117897175,1,,,
,,,,6023,,,,1,0.32137957215309143,0.8989414694894147,0.8478177403520236
2e-05,0.002,0.002,0.002,6024,,,,,,,
,,,,9035,0.33291536569595337,0.8990368648289605,0.8880881285611002,2,,,
,,,,9035,,,,2,0.22127538919448853,0.9270236612702366,0.8892226241541578
2e-05,0.002,0.002,0.002,9036,,,,,,,
,,,,12047,0.3822591006755829,0.8985386914646297,0.8908853831341718,3,,,
,,,,12047,,,,3,0.16600267589092255,0.9437110834371109,0.913600782778886
2e-05,0.002,0.002,0.002,12048,,,,,,,
,,,,15059,0.3799532353878021,0.9023580205911658,0.8878304005470864,4,,,
,,,,15059,,,,4,0.12522533535957336,0.9570568700705687,0.9332628634683634
2e-05,0.002,0.002,0.002,15060,,,,,,,
,,,,18071,0.352974534034729,0.9075058120225838,0.9005722409356837,5,,,
,,,,18071,,,,5,0.09900340437889099,0.965628891656289,0.9465167658318486
2e-05,0.002,0.002,0.002,18072,,,,,,,
,,,,21083,0.4239733815193176,0.9043507140484889,0.892878583845982,6,,,
,,,,21083,,,,6,0.0745176449418068,0.9738688252386882,0.959039843971364
2e-05,0.002,0.002,0.002,21084,,,,,,,
,,,,24095,0.4092726707458496,0.9015277316506144,0.8916520605116895,7,,,
,,,,24095,,,,7,0.06015510484576225,0.9795973432959735,0.9680851897975277
2e-05,0.002,0.002,0.002,24096,,,,,,,
,,,,27107,0.49832993745803833,0.9038525406841581,0.88731854563573,8,,,
,,,,27107,,,,8,0.048039406538009644,0.9843088418430884,0.9750009224666832
2.0000000000000003e-06,0.0002,0.0002,0.0002,27108,,,,,,,
,,,,30119,0.4508388638496399,0.9111590833610096,0.9014275408410365,9,,,
,,,,30119,,,,9,0.017083315178751945,0.9947696139476961,0.9917743646510794
2.0000000000000003e-06,0.0002,0.0002,0.0002,30120,,,,,,,
,,,,33131,0.46489351987838745,0.911989372301561,0.9038243323329187,10,,,
,,,,33131,,,,10,0.009726591408252716,0.997156496471565,0.9955324938886596
2.0000000000000003e-06,0.0002,0.0002,0.0002,33132,,,,,,,
,,,,36143,0.48740237951278687,0.9091663899036865,0.9004102869274423,11,,,
,,,,36143,,,,11,0.006974735297262669,0.9979452054794521,0.9966957243669584
2.0000000000000003e-06,0.0002,0.0002,0.0002,36144,,,,,,,
,,,,39155,0.49738210439682007,0.910162736632348,0.902575561471194,12,,,
,,,,39155,,,,12,0.005368153098970652,0.9985471149854711,0.9976366403763671
2.0000000000000003e-06,0.0002,0.0002,0.0002,39156,,,,,,,
,,,,42167,0.5037782192230225,0.9116572567253404,0.9024849783402411,13,,,
,,,,42167,,,,13,0.004773038439452648,0.9986716479867165,0.99798625524653
2.0000000000000003e-06,0.0002,0.0002,0.0002,42168,,,,,,,
,,,,45179,0.5072725415229797,0.9118233145134507,0.9019434802852183,14,,,
,,,,45179,,,,14,0.004015689715743065,0.9988999584889996,0.9982325538489929
2.0000000000000004e-07,2e-05,2e-05,2e-05,45180,,,,,,,
,,,,48191,0.5106103420257568,0.9121554300896713,0.9024604464825604,15,,,
,,,,48191,,,,15,0.0032157667446881533,0.9991905354919054,0.9986965545869663
2.0000000000000004e-07,2e-05,2e-05,2e-05,48192,,,,,,,
,,,,51203,0.5126557350158691,0.9114911989372302,0.9020181321494802,16,,,
,,,,51203,,,,16,0.002866690279915929,0.9993565794935658,0.9989788293897887
2.0000000000000004e-07,2e-05,2e-05,2e-05,51204,,,,,,,
,,,,54215,0.5133490562438965,0.9116572567253404,0.9023344080606068,17,,,
,,,,54215,,,,17,0.0030868416652083397,0.9992735574927356,0.9988653659886538
2.0000000000000004e-07,2e-05,2e-05,2e-05,54216,,,,,,,
,,,,57227,0.5145896077156067,0.9118233145134507,0.9025750476866264,18,,,
,,,,57227,,,,18,0.002784683369100094,0.9994811124948111,0.9991587103915874
2.0000000000000004e-07,2e-05,2e-05,2e-05,57228,,,,,,,
,,,,60239,0.5163038372993469,0.911989372301561,0.9028965271462585,19,,,
,,,,60239,,,,19,0.002964068204164505,0.999252801992528,0.9988515289885156
2.0000000000000004e-07,2e-05,2e-05,2e-05,60240,,,,,,,
,,,,63251,0.5171782970428467,0.9113251411491199,0.9020040310872018,20,,,
,,,,63251,,,,20,0.0027881860733032227,0.9992943129929431,0.9988459941884601
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,63252,,,,,,,
,,,,66263,0.5172703862190247,0.9113251411491199,0.9018461695947998,21,,,
,,,,66263,,,,21,0.0025791351217776537,0.9994811124948111,0.9991780821917808
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,66264,,,,,,,
,,,,69275,0.5172606706619263,0.9113251411491199,0.9018461695947998,22,,,
,,,,69275,,,,22,0.0029793991707265377,0.9992943129929431,0.9988727457220611
2.0000000000000007e-08,2.0000000000000003e-06,2.0000000000000003e-06,2.0000000000000003e-06,69276,,,,,,,
,,,,72287,0.5173156261444092,0.9114911989372302,0.9023004507934722,23,,,
,,,,72287,,,,23,0.0028680656105279922,0.9993773349937733,0.9989834417231679
