lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0.002,0.002,0.002,0,,,,,,,
,,,,3011,0.43446117639541626,0.8804383925606111,0.8634436375488915,0,,,
,,,,3011,,,,0,0.7390964031219482,0.804603187780176,0.7093280278179916
2e-05,0.002,0.002,0.002,3012,,,,,,,
,,,,6023,0.35721632838249207,0.8943872467618731,0.8853367988649495,1,,,
,,,,6023,,,,1,0.371477335691452,0.8905445791133987,0.8259689195437258
2e-05,0.002,0.002,0.002,6024,,,,,,,
,,,,9035,0.37312912940979004,0.8938890733975423,0.883335720187571,2,,,
,,,,9035,,,,2,0.25014728307724,0.9221110742155072,0.8739617643235855
2e-05,0.002,0.002,0.002,9036,,,,,,,
,,,,12047,0.3777853846549988,0.8940551311856526,0.8841094926291557,3,,,
,,,,12047,,,,3,0.18540890514850616,0.9395857546073385,0.9011828116820837
2e-05,0.002,0.002,0.002,12048,,,,,,,
,,,,15059,0.4286496639251709,0.8975423447359682,0.8843853639422748,4,,,
,,,,15059,,,,4,0.13972745835781097,0.9534285239913665,0.9219983850985768
2e-05,0.002,0.002,0.002,15060,,,,,,,
,,,,18071,0.4142211079597473,0.8997010959814016,0.8918105780916402,5,,,
,,,,18071,,,,5,0.10635241121053696,0.9652374232110245,0.9421688553665895
2e-05,0.002,0.002,0.002,18072,,,,,,,
,,,,21083,0.4536517262458801,0.9016937894387247,0.8923853427421985,6,,,
,,,,21083,,,,6,0.08686996251344681,0.9710899883778847,0.951402744819582
2e-05,0.002,0.002,0.002,21084,,,,,,,
,,,,24095,0.4634411036968231,0.9021919628030555,0.8934148114690906,7,,,
,,,,24095,,,,7,0.07274609804153442,0.9759878797941225,0.9599929810505875
2.0000000000000003e-06,0.0002,0.0002,0.0002,24096,,,,,,,
,,,,27107,0.47272399067878723,0.9053470607771504,0.8982301924955584,8,,,
,,,,27107,,,,8,0.0308338962495327,0.9903494936078366,0.9835357232899972
2.0000000000000003e-06,0.0002,0.0002,0.0002,27108,,,,,,,
,,,,30119,0.4861892759799957,0.9075058120225838,0.9000188097164318,9,,,
,,,,30119,,,,9,0.021358832716941833,0.993607836626266,0.9893438029001684
2.0000000000000003e-06,0.0002,0.0002,0.0002,30120,,,,,,,
,,,,33131,0.5071325898170471,0.910162736632348,0.9026202903681823,10,,,
,,,,33131,,,,10,0.01531484816223383,0.9956832143450108,0.9925569180574978
2.0000000000000003e-06,0.0002,0.0002,0.0002,33132,,,,,,,
,,,,36143,0.5173362493515015,0.9099966788442378,0.9025015090388241,11,,,
,,,,36143,,,,11,0.013690028339624405,0.9959322596712602,0.9931407382810328
2.0000000000000003e-06,0.0002,0.0002,0.0002,36144,,,,,,,
,,,,39155,0.5310996174812317,0.9091663899036865,0.9009906706973819,12,,,
,,,,39155,,,,12,0.011954566463828087,0.9967416569815707,0.9944914248467287
2.0000000000000003e-06,0.0002,0.0002,0.0002,39156,,,,,,,
,,,,42167,0.5406219363212585,0.9108269677847891,0.9039812127181381,13,,,
,,,,42167,,,,13,0.009768817573785782,0.9973020089656317,0.9954633428998354
2.0000000000000004e-07,2e-05,2e-05,2e-05,42168,,,,,,,
,,,,45179,0.5424337387084961,0.9104948522085686,0.9036620252463345,14,,,
,,,,45179,,,,14,0.008604679256677628,0.9976340694006309,0.9960313507217038
2.0000000000000004e-07,2e-05,2e-05,2e-05,45180,,,,,,,
,,,,48191,0.5453494191169739,0.9111590833610096,0.9040673295559444,15,,,
