lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,lr-AdamW/pg4,step,val_loss,val_acc,val_f1,epoch,train_loss,train_acc,train_f1
2e-05,0.002,0.002,0.002,0,,,,,,,
,,,,3011,0.5024449229240417,0.8726336765194288,0.8527173202296029,0,,,
,,,,3011,,,,0,0.7418166995048523,0.8060144446289225,0.712779888553065
2e-05,0.002,0.002,0.002,3012,,,,,,,
,,,,6023,0.3785690367221832,0.8933909000332115,0.8812853361711724,1,,,
,,,,6023,,,,1,0.3897791802883148,0.8894446289224639,0.8241535073772173
2e-05,0.002,0.002,0.002,6024,,,,,,,
,,,,9035,0.34915319085121155,0.9058452341414812,0.8941000753142193,2,,,
,,,,9035,,,,2,0.26960086822509766,0.9189565000830151,0.8693218578022607
2e-05,0.002,0.002,0.002,9036,,,,,,,
,,,,12047,0.3705874979496002,0.9010295582862836,0.8884271205400625,3,,,
,,,,12047,,,,3,0.20450162887573242,0.9355595218329736,0.8946842590815646
2e-05,0.002,0.002,0.002,12048,,,,,,,
,,,,15059,0.39981478452682495,0.8973762869478579,0.8848060383572488,4,,,
,,,,15059,,,,4,0.15825873613357544,0.9496513365432508,0.9161749985188639
2e-05,0.002,0.002,0.002,15060,,,,,,,
,,,,18071,0.4191240072250366,0.9038525406841581,0.8943067377016815,5,,,
,,,,18071,,,,5,0.12109813094139099,0.9596339033704134,0.9332563462178438
2e-05,0.002,0.002,0.002,18072,,,,,,,
,,,,21083,0.40472620725631714,0.9075058120225838,0.9000363261749853,6,,,
,,,,21083,,,,6,0.10090019553899765,0.9678731529138304,0.9458191570759997
2e-05,0.002,0.002,0.002,21084,,,,,,,
,,,,24095,0.44536808133125305,0.9046828296247094,0.8961469017751891,7,,,
,,,,24095,,,,7,0.08577301353216171,0.9725635065581936,0.9542278035607717
2e-05,0.002,0.002,0.002,24096,,,,,,,
,,,,27107,0.46986642479896545,0.9043507140484889,0.8924190279212976,8,,,
,,,,27107,,,,8,0.06861387193202972,0.9781462726216171,0.9631923430121945
2.0000000000000003e-06,0.0002,0.0002,0.0002,27108,,,,,,,
,,,,30119,0.47998562455177307,0.9093324476917968,0.8991464483625872,9,,,
,,,,30119,,,,9,0.02879932150244713,0.991387182467209,0.9851807050047113
2.0000000000000003e-06,0.0002,0.0002,0.0002,30120,,,,,,,
,,,,33131,0.5019003748893738,0.9118233145134507,0.9016519690415764,10,,,
,,,,33131,,,,10,0.020254842936992645,0.9941266810559521,0.9900970354382257
2.0000000000000003e-06,0.0002,0.0002,0.0002,33132,,,,,,,
,,,,36143,0.5071353912353516,0.9116572567253404,0.9018046066822715,11,,,
,,,,36143,,,,11,0.01612282730638981,0.9954756765731363,0.9922823093485543
2.0000000000000003e-06,0.0002,0.0002,0.0002,36144,,,,,,,
,,,,39155,0.5302861332893372,0.9106609099966788,0.9011415410613531,12,,,
,,,,39155,,,,12,0.013460580259561539,0.9959530134484477,0.9928901117146173
2.0000000000000003e-06,0.0002,0.0002,0.0002,39156,,,,,,,
,,,,42167,0.545975923538208,0.9128196612421122,0.9031819945453118,13,,,
,,,,42167,,,,13,0.011128099635243416,0.9971152249709447,0.995233351517594
2.0000000000000003e-06,0.0002,0.0002,0.0002,42168,,,,,,,
,,,,45179,0.5511308312416077,0.9139820657588841,0.9048376344726723,14,,,
,,,,45179,,,,14,0.009286935441195965,0.9975718080690685,0.9958545153630652
2.0000000000000004e-07,2e-05,2e-05,2e-05,45180,,,,,,,
,,,,48191,0.5535046458244324,0.9134838923945533,0.9036625931643152,15,,,
,,,,48191,,,,15,0.008314548060297966,0.9977793458409431,0.9962513539368919
2.0000000000000004e-07,2e-05,2e-05,2e-05,48192,,,,,,,
,,,,51203,0.5551625490188599,0.9128196612421122,0.9029793543785415,16,,,
,,,,51203,,,,16,0.007896016351878643,0.9979453760584427,0.9964298232437032
2.0000000000000004e-07,2e-05,2e-05,2e-05,51204,,,,,,,
,,,,54215,0.5557367205619812,0.9131517768183328,0.9032356310065648,17,,,
,,,,54215,,,,17,0.00812749657779932,0.9979453760584427,0.9965049321516195
2.0000000000000004e-07,2e-05,2e-05,2e-05,54216,,,,,,,
,,,,57227,0.5562505722045898,0.912653603454002,0.9026895445535773,18,,,
,,,,57227,,,,18,0.007905248552560806,0.9979246222812552,0.9963337629035783
